,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
79,3D1TUISJXMOY3PCJI9ORPLTKPY6UIG,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3YDTZAI2W24R85J0MYH492AQ8YV415,A1A3J5IXCM8A7X,Submitted,2020-05-23 22:05:43,2020-05-23 22:06:54,Tue May 26 22:06:54 PDT 2020,,,,71,0% (0/0),0% (0/0),0% (0/0),cnndm5025,unilm_out_v1,"['1088', '1089', '1090', '1091', '1092', '1093', '1094', '1095', '1096', '1097', '1098', '1099', '1100', '1101', '1102', '1103']","Zbigniew Huminski , 38 , has confessed to strangling his nine - year - old victim . Chloe , identified by her first name of Chloe , was stripped naked and sexually assaulted . She was then driven to an isolated wood where she was raped and murdered . The Little Girl's naked body was found in the woods 90 minutes after she was taken . Chloe's mother , Isabelle , Heard .",Chloe's was playing with friend.,Zbigniew Huminski forced Chloe into the car.,Chloe's naked body was found.,Chloe's body was found in nearby woods.,Chloe's body was found an hour - and - A - half later.,Prosecutors say there is evidence.,The evidence was of ' strangulation and sexual violence '.,Zbigniew Huminski is a Polish immigrant.,Zbigniew Huminski was heading to England.,Zbigniew Huminski has admitted to killing.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,n,p,p,p,n,n,n,n,{},,
81,3FJ2RVH263UW8CAEVV8869ZPNH029N,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,39N5ACM9HJBVM38EOVOLR634X6HP9S,A12ATVBE1I4567,Submitted,2020-05-23 22:34:07,2020-05-23 22:50:59,Tue May 26 22:50:59 PDT 2020,,,,1012,0% (0/0),0% (0/0),0% (0/0),cnndm9393,unilm_out_v1,"['1168', '1169', '1170', '1171', '1172', '1173', '1174', '1175', '1176', '1177', '1178', '1179', '1180', '1181', '1182', '1183']","Kathy Ferreiro , 21 , has been dubbed the ` Cuban Kim Kardashian ' . Miami - based Bikini Babe has proved a hit on social media . Fans love photos of her curves , which she says are 100 per cent natural . Kathy , who works in skincare , says her pictures are ` 100 percent real ' .",Kathy Ferreiro is born in Cuba.,Kathy Ferreiro's curves have attracted fans on social media.,Kathy Ferreiro loves Bikini.,Kathy Ferreiro says photos of her booty are all natural.,Kathy Ferreiro is Miami based.,Kathy Ferreiro is a party girl.,Kathy Ferreiro hopes to become next Kim Kardashian.,Kathy Ferreiro has a huge following in Colombia,Kathy Ferreiro has a huge following in other Latin American countries.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,p,p,n,n,n,n,{},,
83,3DFYDSXB30OUY0WP0R9R1M8K2DVUJS,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3IUZPWIU1TV5N8O64ET599PG1XXWKP,A12ATVBE1I4567,Submitted,2020-05-23 22:44:15,2020-05-23 23:07:34,Tue May 26 23:07:34 PDT 2020,,,,1399,0% (0/0),0% (0/0),0% (0/0),cnndm9781,unilm_out_v1,"['368', '369', '370', '371', '372', '373', '374', '375', '376', '377', '378', '379', '380', '381', '382', '383']",Queens Park Rangers beat West Brom 2 - 1 in their Premier League clash at The Hawthorns . Eduardo Vargas opened the scoring for the hosts with a 25 - yard strike . Bobby Zamora doubled the lead in the 84th minute with an astounding lob from a narrow angle . Charlie Austin scored his second goal of the game on the 35th minute to put QPR 3 - 0 up at half - time . Tony Pulis .,Eduardo Vargas put QPR ahead.,Eduardo Vargas had a spectacular strike.,The strike was from 25 yards.,The strike was after 15 minutes.,Charlie Austin doubled the lead.,Charlie Austin scored with a header.,Charlie Austin scored 20 minutes later.,Bobby Zamora made it three.,Victor Anichebe pulled one back for West Brom.,Youssouf Mulumbu was sent off.,Joey Barton scored.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,n,n,n,{},,
84,3IWA71V4UM4AR9BDLDQPCP2JAPSX6H,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,38YMOXR4MZNYOT3H2AZ4ZQKY02T6WA,A3PYB8Z6FFWSOV,Submitted,2020-05-24 01:48:37,2020-05-24 02:04:43,Wed May 27 02:04:43 PDT 2020,,,,966,0% (0/0),0% (0/0),0% (0/0),cnndm5231,unilm_out_v1,"['480', '481', '482', '483', '484', '485', '486', '487', '488', '489', '490', '491', '492', '493', '494', '495']","A pair of Border Collies were caught on camera performing a balancing act . Ace and Holly stood up high on their hind legs , with their front paws up . The pair stand up solely on their legs - and hold the pose for several seconds . Their owner and trainer , Dai Aoki , runs the Waterloo , Australia - based dog training company positive dog care . The TV show ` .",Ace is a Border Collie.,Holly is a Border Collie.,The Border Collies (or Ace and Holly) were caught on camera.,The Border Collies performed a gravity defying feat.,The Border Collies were pooches.,The Border Collies / pooches stood on their hind legs.,The Border Collies stood on their owner/their trainer/Dai Aoki.,Dai Aoki is the trainer of the Border Collies/pooches.,Dai Aoki is the owner of the Border Collies/pooches.,The Border Collies have appeared in a number of videos.,The videos show the Border Collies showing off their tricks.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,p,n,p,p,{},,
85,3IWA71V4UM4AR9BDLDQPCP2JAPSX6H,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3FE2ERCCZ2WYTQCKQK73OWYTS59POC,A2GMGP393VX96T,Submitted,2020-05-23 23:42:30,2020-05-23 23:46:10,Tue May 26 23:46:10 PDT 2020,,,,220,0% (0/0),0% (0/0),0% (0/0),cnndm5231,unilm_out_v1,"['480', '481', '482', '483', '484', '485', '486', '487', '488', '489', '490', '491', '492', '493', '494', '495']","A pair of Border Collies were caught on camera performing a balancing act . Ace and Holly stood up high on their hind legs , with their front paws up . The pair stand up solely on their legs - and hold the pose for several seconds . Their owner and trainer , Dai Aoki , runs the Waterloo , Australia - based dog training company positive dog care . The TV show ` .",Ace is a Border Collie.,Holly is a Border Collie.,The Border Collies (or Ace and Holly) were caught on camera.,The Border Collies performed a gravity defying feat.,The Border Collies were pooches.,The Border Collies / pooches stood on their hind legs.,The Border Collies stood on their owner/their trainer/Dai Aoki.,Dai Aoki is the trainer of the Border Collies/pooches.,Dai Aoki is the owner of the Border Collies/pooches.,The Border Collies have appeared in a number of videos.,The videos show the Border Collies showing off their tricks.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,p,n,p,p,{},,
87,31KSVEGZ48GOOS473WX1L1F8XA0RWG,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3EFVCAY5L8XZMNM6OQDNUEMH412J86,A3PYB8Z6FFWSOV,Submitted,2020-05-24 00:16:05,2020-05-24 00:17:45,Wed May 27 00:17:45 PDT 2020,,,,100,0% (0/0),0% (0/0),0% (0/0),cnndm5420,unilm_out_v1,"['336', '337', '338', '339', '340', '341', '342', '343', '344', '345', '346', '347', '348', '349', '350', '351']","Dayna Dobias , 19 , was born with cerebral palsy . She hopes to change the way people with disabilities are represented by the television , film and the fashion industry .",Dayna Dobias is 19 years old.,Dayna Dobias has created a video.,"In Dayna Dobias's video, she dances.",Dayna Dobias has a disability.,Dayna Dobias's disability makes it difficult for her to walk.,Dayna Dobias loves TV.,Dayna Dobias loves film.,Dayna Dobias loves fashion.,Dayna Dobias is not happy with how people with disabilities are represented.,Dayna Dobias has created several videos.,Dayna Dobias's videos aim at changing stereotypes.,Dayna Dobias has created several videos during the past year.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,p,n,n,n,n,p,{},,
88,372AGES0J8T3DS9XD1TNNKTF6C6RX9,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3K3R2QNK8GR8E8GA5HNF1CQ35NF9UE,A19LVWX8ZLO6CS,Submitted,2020-05-23 23:44:59,2020-05-23 23:45:54,Tue May 26 23:45:54 PDT 2020,,,,55,0% (0/0),0% (0/0),0% (0/0),cnndm9086,unilm_out_v1,"['624', '625', '626', '627', '628', '629', '630', '631', '632', '633', '634', '635', '636', '637', '638', '639']",Liverpool host Aston Villa in the FA Cup on Sunday . Brendan Rodgers says Man City are bigger than Liverpool or Manchester United . The Reds have been heavily linked with a # 50million move for Raheem Sterling . Sterling has two years left on his contract and is stalling on a new deal . Rodgers says the Anfield club have no intention of becoming their feeder team . Click .,Manchester City have been linked with Raheem Sterling.,Manchester City have been linked with summer move for Raheem Sterling.,Raheem Sterling has two years left on his contract.,Raheem Sterling is stalling on a new deal.,Brendan Rodgers says a move to city would not be a step up for Sterling.,Brendan Rodgers indicated it will take Manchester City 20 years to eclipse Liverpool.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,p,n,n,n,n,n,{},,
91,3MJ9GGZYP7UADVKJN1M824A9TZI2A2,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3ZAZR5XV066RY5HNNOWEKU6QDQ9CZZ,A3PYB8Z6FFWSOV,Submitted,2020-05-24 02:11:06,2020-05-24 02:58:34,Wed May 27 02:58:34 PDT 2020,,,,2848,0% (0/0),0% (0/0),0% (0/0),cnndm5357,unilm_out_v1,"['816', '817', '818', '819', '820', '821', '822', '823', '824', '825', '826', '827', '828', '829', '830', '831']","Denise and Glen Higgs , from Braunton , Devon , had all but lost hope that they would ever be able to conceive . Glen , 35 , had always wanted to have children and decided to store sperm shortly before his testicular cancer treatment at the age of 20 made him infertile . He met Dee and , after living together for five years , tied the knot in .",Denise and Glen Higgs are a couple.,The couple thought they 'd never have children.,Glen Higgs was infertile.,Cancer treatment caused the infertility.,The couple tried IVF.,"The couple are from Braunton , Devon.",The couple had Mazy.,The couple tried again using the same batch.,The couple had twins last week.,Mazy was born three years ago.,The twins are Carter & Carson.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,p,n,n,n,{},,
92,3X0EMNLXFTDQXQON0UOGU4WFPJAPVC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,31UV0MXWNV0K4UJY8ALK6TXQPW35I5,A2GMGP393VX96T,Submitted,2020-05-23 22:24:59,2020-05-23 22:26:57,Tue May 26 22:26:57 PDT 2020,,,,118,0% (0/0),0% (0/0),0% (0/0),cnndm1492,unilm_out_v1,"['1152', '1153', '1154', '1155', '1156', '1157', '1158', '1159', '1160', '1161', '1162', '1163', '1164', '1165', '1166', '1167']","Phil Smith , 25 , scaled a fence to try to get in his flat in Cottingham , Hull , but fell and hit his head . He fractured his skull and suffered a bleed on the brain and a blood clot in the fall . He was placed in a medically induced coma at Hull Royal Infirmary , but died five days later . His parents paid tribute to .",Phil Smith is 25.,Phil Smith forgot his keys.,Phil Smith scaled a fence.,Phil Smith scaled the fence to try to get in his flat.,Phil Smith is a teaching assistant.,Phil Smith/teaching assistant was climbing through a window.,Phil Smith/teaching assistant fell and hit his head.,Phil Smith/teaching assistant fell while climbing through a window.,Phil Smith/teaching assistant  fractured his skull.,Phil Smith/teaching assistant suffered a bleed on the brain.,Phil Smith/teaching assistant suffered a blood clot.,Parents paid tribute to Phil Smith.,Parents refer to Phil Smith as ' Lovely Son '.,Phil Smith/teaching assistant worked at Special Needs School.,BLANK,BLANK,n,n,p,n,n,n,n,p,n,p,p,n,n,n,n,n,{},,
93,3X0EMNLXFTDQXQON0UOGU4WFPJAPVC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:00 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:00 PDT 2020,,,3SUWZRL0M3147THQHA5YDKDYTY6E6K,A1A3J5IXCM8A7X,Submitted,2020-05-23 22:17:41,2020-05-23 22:18:39,Tue May 26 22:18:39 PDT 2020,,,,58,0% (0/0),0% (0/0),0% (0/0),cnndm1492,unilm_out_v1,"['1152', '1153', '1154', '1155', '1156', '1157', '1158', '1159', '1160', '1161', '1162', '1163', '1164', '1165', '1166', '1167']","Phil Smith , 25 , scaled a fence to try to get in his flat in Cottingham , Hull , but fell and hit his head . He fractured his skull and suffered a bleed on the brain and a blood clot in the fall . He was placed in a medically induced coma at Hull Royal Infirmary , but died five days later . His parents paid tribute to .",Phil Smith is 25.,Phil Smith forgot his keys.,Phil Smith scaled a fence.,Phil Smith scaled the fence to try to get in his flat.,Phil Smith is a teaching assistant.,Phil Smith/teaching assistant was climbing through a window.,Phil Smith/teaching assistant fell and hit his head.,Phil Smith/teaching assistant fell while climbing through a window.,Phil Smith/teaching assistant  fractured his skull.,Phil Smith/teaching assistant suffered a bleed on the brain.,Phil Smith/teaching assistant suffered a blood clot.,Parents paid tribute to Phil Smith.,Parents refer to Phil Smith as ' Lovely Son '.,Phil Smith/teaching assistant worked at Special Needs School.,BLANK,BLANK,p,p,p,n,n,n,n,p,n,p,p,n,n,p,n,p,{},,
95,371Q3BEXELX4J29PT8HDAFEM0ENZS2,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:01 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:01 PDT 2020,,,3U84XHCDIH1O3148U9QW1WU2LDDZ4U,AHKYVHP6591H8,Submitted,2020-05-23 23:11:11,2020-05-23 23:17:54,Tue May 26 23:17:54 PDT 2020,,,,403,100% (31/31),100% (31/31),100% (31/31),cnndm7670,unilm_out_v1,"['1376', '1377', '1378', '1379', '1380', '1381', '1382', '1383', '1384', '1385', '1386', '1387', '1388', '1389', '1390', '1391']",Kevin Pietersen is ` running out of Time ' to resurrect his England career . Former England star Andrew Flintoff fears there is no vacancy for Pietersen . Pietersen has not featured for England since being sacked 14 months ago . Pietersen scored 170 for Surrey in the parks as he bids to earn a recall to the England squad . Pietersen already has three Ashes series wins on his .,Kevin Pietersen was sacked by England.,Kevin Pietersen was sacked 14 months ago.,Kevin Pietersen was sacked after Ashes defeat.,Kevin Pietersen is a Batsman.,Kevin Pietersen scored 170 for Surrey.,Kevin Pietersen played last week .,Kevin Pietersen made a return to county cricket.,Kevin Pietersen wants his return to be sensational.,Kevin Pietersen wants to make a return to the England side.,Kevin Pietersen wants to make a return this year .,Andrew Flintoff thinks time is running out for Kevin Pietersen to resurrect his career.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,p,n,n,n,n,{},,
97,3ULIZ0H1WET6I4Q691VDPAKI9F351I,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:01 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:01 PDT 2020,,,3WYGZ5XF313CGR7XK9J4CKMVVKCKS9,A1T0S48O0CMXBC,Submitted,2020-05-24 00:45:07,2020-05-24 01:20:41,Wed May 27 01:20:41 PDT 2020,,,,2134,100% (1/1),100% (1/1),100% (1/1),cnndm6774,unilm_out_v1,"['736', '737', '738', '739', '740', '741', '742', '743', '744', '745', '746', '747', '748', '749', '750', '751']","Mustafa Kamal resigned as ICC President on Wednesday . He accused India of influencing the outcome of the Cricket World Cup quarter - final against Bangladesh . Kamal , a Bangladeshi , also criticised the umpires and questioned their partiality over a disputed no - ball against India's Rohit Sharma . The ICC asked him to either withdraw his statement or apologise for his outburst , otherwise he would be denied the duty .",Kamal criticised decision.,Decision was to award no - ball against Rohit Sharma.,Decision was controversial.,Decision was Umpires' decision.,Decision was in World Cup match.,India and Bangladesh played World Cup match.,An allegation was made that India had used its influence in the ICC.,Bangladeshi president made an allegation.,Governing Body asked Bangladeshi president to withdraw his statement or apologise.,Kamal confirmed his intention.,Kamal's intention was to step down.,Governing Body made request to Bangladeshi president.,BLANK,BLANK,BLANK,BLANK,p,p,p,n,n,n,n,p,p,p,p,p,p,n,p,p,{},,
